vessel_id,block,length,width,weight,height,location
SN2627,D280S,19.0,12.0,34.0,1.6,봉암8
SN2457,S18BS,18.0,11.0,42.0,3.7,OFD
SN2616,E54XS,15.0,11.0,16.0,1.8,신한내
SN2598,D370S,22.0,13.0,35.0,4.2,성동
SN2627,E561S,11.0,10.0,13.0,1.0,봉암8
SN2611,F130C,11.0,10.0,4.0,4.7,덕곡2
SN2591,E420P,18.0,15.0,49.0,5.5,성동
SN2603,F110S,15.0,13.0,21.0,3.5,덕곡2
SN2591,S082P,11.0,11.0,9.0,2.6,오비3
SN2609,E11FS,11.0,7.0,16.0,3.2,덕곡2
SN2603,Y710C,12.0,12.0,6.0,12.0,OFD
SN2454,S620P,18.0,14.0,30.0,5.4,봉암8
SN2627,Y900C,11.0,10.0,52.0,2.3,성동
SN2607,F422P,15.0,12.0,13.0,3.8,덕곡2
SN2591,E470C,18.0,11.0,52.0,4.3,봉암9
SN2456,A310P,27.0,17.0,92.0,6.8,사내
SN2608,T141S,14.0,14.0,52.0,2.8,신한내
SN2591,S081S,15.0,12.0,22.0,2.3,오비3
SN2601,F331P,11.0,10.0,13.0,3.5,한내
SN2608,B131P,21.0,19.0,135.0,3.2,오비1
SN2456,H120P,21.0,15.0,48.0,4.7,성동
SN2463,A121P,15.0,11.0,23.0,4.6,봉암8
SN2464,E412S,11.0,11.0,8.0,2.0,성동
SN2616,L152P,18.0,11.0,46.0,5.8,한내
SN2611,F120C,15.0,15.0,20.0,4.3,성동
SN2598,D350S,16.0,14.0,25.0,4.9,성동
SN2607,B120P,22.0,19.0,83.0,3.2,신한내
SN2463,S393S,11.0,5.0,5.0,2.0,덕곡2
SN2615,F732S,11.0,6.0,5.0,2.1,봉암9
SN2607,T320P,18.0,17.0,46.0,2.9,신한내
SN2603,F420S,18.0,16.0,45.0,8.2,신한내
SN2601,F331S,11.0,11.0,15.0,3.7,성동
SN2601,D401P,18.0,14.0,37.0,4.1,OFD
SN2638,E11YS,11.0,6.0,9.0,4.5,봉암9
SN2598,D390P,16.0,13.0,24.0,4.2,봉암9
SN2463,F731P,17.0,11.0,36.0,4.8,덕곡2
SN2591,E611S,11.0,11.0,7.0,2.0,덕곡2
SN2454,S630S,18.0,11.0,19.0,7.9,한내
SN2612,S170P,21.0,19.0,60.0,5.4,오비1
SN2457,E510S,23.0,13.0,46.0,5.2,성동
SN2455,B200C,18.0,17.0,62.0,2.3,성동
SN2616,S350P,14.0,11.0,19.0,7.0,한내
SN2464,E422S,11.0,7.0,11.0,1.3,사내
SN2464,B11AP,19.0,11.0,33.0,2.2,한내
SN2616,H170S,11.0,10.0,10.0,4.5,덕곡2
SN2634,M120S,20.0,13.0,60.0,6.0,성동
SN2609,E11FP,11.0,7.0,16.0,3.2,한내
SN2601,D380S,16.0,14.0,26.0,4.4,성동
SN2607,D712S,14.0,11.0,14.0,4.6,덕곡2
SN2591,E620S,15.0,12.0,45.0,5.3,OFD
SN2616,E51AP,12.0,11.0,19.0,5.2,오비3
SN2607,T151C,20.0,15.0,94.0,2.7,성동
SN2608,M220P,18.0,12.0,34.0,3.6,덕곡2
SN2463,S093P,11.0,11.0,11.0,2.6,봉암8
SN2601,D310S,20.0,14.0,34.0,5.3,봉암9
SN2598,Y900S,11.0,9.0,23.0,2.4,덕곡2
SN2463,F732S,11.0,9.0,15.0,3.4,봉암9
SN2598,T350P,18.0,17.0,46.0,4.5,성동
SN2608,T121S,16.0,14.0,71.0,2.9,봉암9
SN2616,L152S,18.0,11.0,46.0,5.8,오비3
SN2455,W830C,15.0,11.0,12.0,2.8,봉암9
SN2590,E560C,18.0,11.0,26.0,7.2,성동
SN2456,B120S,20.0,16.0,50.0,2.2,신한내
SN2607,M510P,22.0,18.0,79.0,4.4,성동
SN2608,H131P,21.0,11.0,44.0,4.9,성동
SN2612,D40AP,18.0,11.0,15.0,2.2,봉암9
SN2603,F520S,19.0,18.0,68.0,6.3,사내
SN2598,F110P,15.0,14.0,21.0,5.0,OFD
SN2599,E413S,11.0,10.0,16.0,3.5,오비3
SN2463,E733P,16.0,11.0,8.0,2.4,봉암8
SN2612,T540S,11.0,11.0,18.0,2.7,성동
SN2611,D170C,20.0,20.0,57.0,1.9,사내
SN2608,T151C,20.0,15.0,94.0,2.7,봉암9
SN2457,S121P,22.0,20.0,83.0,2.5,오비1
SN2612,H120S,22.0,12.0,35.0,5.6,한내
SN2464,B19AS,20.0,11.0,35.0,2.3,봉암9
SN2612,D321P,16.0,14.0,39.0,4.1,성동
SN2607,D361S,15.0,14.0,38.0,4.1,성동
SN2463,E752P,11.0,11.0,7.0,4.8,봉암9
SN2612,S150S,21.0,19.0,60.0,5.4,오비1
SN2463,S40AP,18.0,11.0,28.0,2.0,봉암9
SN2611,F110S,15.0,13.0,21.0,3.5,덕곡2
SN2405,D640S,13.0,11.0,18.0,2.1,한내
SN2634,M110P,22.0,11.0,83.0,6.0,성동
SN2627,H210P,19.0,11.0,21.0,4.8,덕곡2
SN2454,S420P,19.0,14.0,30.0,8.2,성동
SN2607,D331P,16.0,14.0,39.0,4.1,성동
SN2598,D500S,11.0,8.0,4.0,2.4,신한내
SN2603,D840S,11.0,8.0,7.0,2.7,신한내
SN2464,E322P,18.0,11.0,40.0,3.2,한내
SN2634,T521P,11.0,6.0,6.0,2.9,덕곡1
SN2608,F52BS,11.0,8.0,6.0,3.3,신한내
SN2463,S094P,11.0,10.0,9.0,2.6,성동
SN2599,E515S,11.0,4.0,2.0,1.7,오비1
SN2634,E532S,11.0,4.0,2.0,1.7,봉암8
SN2598,D310P,22.0,13.0,37.0,4.2,성동
SN2603,D610S,11.0,10.0,10.0,12.0,성동
SN2608,M220S,18.0,12.0,33.0,3.6,성동
SN2611,D630S,13.0,11.0,12.0,3.4,봉암8
SN2463,S091P,20.0,11.0,35.0,2.5,봉암9
SN2591,E140C,12.0,11.0,4.0,4.7,한내
SN2463,B190P,20.0,16.0,3.0,2.4,성동
SN2598,D191P,16.0,11.0,41.0,1.9,성동
SN2612,D211P,20.0,11.0,44.0,1.9,사내
SN2607,D371S,21.0,14.0,51.0,4.1,사내
SN2615,M710S,18.0,11.0,24.0,3.1,봉암9
SN2612,T320S,18.0,16.0,46.0,2.9,사내
SN2607,D361P,15.0,15.0,39.0,4.5,성동
SN2615,E620S,15.0,12.0,45.0,5.3,봉암8
SN2607,T310S,16.0,15.0,73.0,2.7,봉암9
SN2615,E470C,18.0,11.0,52.0,4.3,한내
SN2457,S124S,20.0,11.0,36.0,0.4,신한내
SN2598,D340S,22.0,13.0,33.0,4.2,성동
SN2612,D321S,16.0,14.0,38.0,4.1,봉암8
SN2607,F421P,15.0,12.0,25.0,3.8,성동
SN2634,M120P,19.0,13.0,68.0,6.0,성동
SN2607,D717S,11.0,11.0,7.0,1.0,덕곡2
SN2616,L151S,18.0,11.0,34.0,2.5,오비1
SN2614,E660C,18.0,11.0,35.0,5.5,오비3
SN2608,F52BP,11.0,8.0,6.0,3.3,OFD
SN2612,D351P,16.0,14.0,36.0,4.1,덕곡2
SN2463,F732P,11.0,9.0,18.0,3.4,한내
SN2608,S13AP,21.0,11.0,24.0,2.7,OFD
SN2457,E450C,20.0,14.0,44.0,5.2,신한내
SN2616,S341P,11.0,10.0,12.0,2.3,성동
SN2608,B201S,15.0,11.0,43.0,3.2,봉암8
SN2627,H310S,18.0,11.0,36.0,2.6,봉암9
SN2615,M710P,18.0,11.0,34.0,3.1,OFD
SN2598,D130C,21.0,16.0,50.0,1.9,성동
SN2456,B120P,20.0,16.0,50.0,2.2,덕곡1
SN2616,A411P,11.0,7.0,3.0,4.3,봉암9
SN2611,D210C,20.0,20.0,52.0,2.7,오비1
SN2601,D110C,20.0,20.0,52.0,3.5,성동
SN2634,M210S,20.0,11.0,55.0,3.5,한내
SN2464,E321P,11.0,11.0,9.0,1.2,덕곡1
SN2599,E411P,11.0,11.0,7.0,1.2,덕곡1
SN2598,D211P,16.0,11.0,38.0,1.9,성동
SN2598,F110S,15.0,14.0,21.0,3.0,신한내
SN2611,F440C,17.0,17.0,35.0,8.1,덕곡1
SN2608,F111P,15.0,13.0,36.0,3.5,오비1
SN2457,H150P,20.0,11.0,26.0,3.4,한내
SN2616,S341S,11.0,10.0,12.0,2.3,봉암8
SN2455,S420P,19.0,14.0,30.0,8.2,OFD
SN2607,M110S,22.0,11.0,80.0,6.2,성동
SN2607,E350C,16.0,13.0,36.0,4.9,한내
SN2454,S210P,19.0,15.0,32.0,8.4,OFD
SN2615,C710S,11.0,10.0,5.0,0.7,덕곡2
SN2607,M410S,22.0,18.0,64.0,3.6,성동
SN2612,D371S,20.0,14.0,48.0,4.1,신한내
SN2607,D714S,23.0,11.0,19.0,3.1,성동
SN2608,M210S,20.0,11.0,54.0,3.6,OFD
SN2463,S191P,20.0,13.0,76.0,2.5,성동
SN2456,E570C,13.0,11.0,29.0,5.2,오비1
SN2616,H170P,11.0,10.0,10.0,4.5,한내
SN2463,A121S,15.0,11.0,23.0,4.6,봉암8
SN2608,B171P,21.0,19.0,116.0,3.2,신한내
SN2464,D29CS,16.0,11.0,10.0,2.0,신한내
SN2603,S200P,22.0,17.0,51.0,9.5,성동
SN2616,D360P,16.0,11.0,37.0,5.5,오비1
SN2457,H330P,21.0,11.0,29.0,2.7,한내
SN2607,D331S,16.0,14.0,40.0,4.1,덕곡2
SN2457,H330S,21.0,11.0,29.0,2.7,한내
SN2464,E423S,11.0,11.0,10.0,2.6,덕곡2
SN2598,T550P,18.0,11.0,14.0,5.3,봉암8
SN2612,T340S,18.0,17.0,45.0,2.9,신한내
SN2603,D730S,19.0,11.0,19.0,6.2,한내
SN2463,E210S,15.0,13.0,32.0,6.0,한내
SN2603,F520P,19.0,18.0,76.0,6.3,신한내
SN2616,B160P,14.0,13.0,26.0,2.5,한내
SN2615,S420P,15.0,11.0,17.0,2.7,오비1
SN2456,E450C,20.0,14.0,44.0,5.2,봉암8
SN2598,D530S,20.0,11.0,23.0,6.7,사내
SN2601,D340S,21.0,14.0,34.0,4.4,신한내
SN2454,Y900C,13.0,11.0,64.0,2.8,신한내
SN2463,S40AS,18.0,11.0,28.0,2.0,한내
SN2598,F510S,15.0,15.0,45.0,3.0,봉암9
SN2457,E370S,16.0,11.0,15.0,5.2,성동
SN2627,E561P,11.0,10.0,13.0,1.0,봉암9
SN2598,Y900P,11.0,9.0,23.0,2.4,봉암9
SN2457,S40AS,18.0,11.0,28.0,2.0,한내
SN2608,T351S,16.0,16.0,50.0,2.7,덕곡1
SN2591,S421S,11.0,9.0,7.0,4.2,봉암9
SN2457,S40AP,18.0,11.0,28.0,2.0,성동
SN2627,H210S,19.0,11.0,21.0,4.8,성동
SN2615,E541S,15.0,14.0,44.0,3.0,봉암9
SN2598,D410S,15.0,13.0,28.0,4.2,덕곡1
