vessel_id,block,length,width,height,weight
 SN2611, A210P,18,20.9,8,53
 SN2627, E12GC,18.1,26.5,8.2,0
 SN2452, S430P,18.3,18.8,8,35
 SN2452, S430S,18.3,18.8,8,35
 SN2597, A31GC,18,40.9,6,0
 SN2602, D720S,7.5,12.3,3.1,32
 SN2603, B140P,20.4,15.7,3.2,71
 SN2603, T320P,17.4,16.4,2.9,48
 SN2611, E230P,17,12.3,4.7,28
 SN2611, T130P,13.4,16.4,2.9,44
 SN2452, C720P,1.8,22,0.7,11
 SN2452, C720S,1.8,23,0.7,11
 SN2452, E710P,12.4,21.7,6.6,84
 SN2452, S230P,19.7,12.2,9.1,22
 SN2452, S230S,19.7,12.2,9.1,23
 SN2453, H200P,18.1,13.7,5.6,66
 SN2597, D340P,20.1,13.5,4.4,33
 SN2603, H120P,21.5,11.2,6.4,35
 SN2611, E410P,20.7,15.6,5.7,58
 SN2611, T330P,17.4,16.4,2.9,48
 SN2613, D560C,6.6,8.1,5.8,23
 SN2627, E410S,11.7,19.3,5.2,34
 SN2590, D36GP,12.7,21.9,6.9,0
 SN2590, E520P,14.6,14.6,7.2,34
 SN2597, D500P,7.8,4.6,2.4,5
 SN2602, D340P,20,13,4.2,31
 SN2603, E420P,21,16.1,5.7,69
 SN2603, E520P,21.1,14,5.6,75
 SN2603, H140P,20.4,11.2,6.4,33
 SN2604, D730S,17.6,13.5,6.7,33
 SN2611, T510P,5.4,5.7,2.7,7
 SN2611, T510S,5.4,5.7,2.7,7
 SN2614, A220S,16.8,16.8,4.3,31
 SN2455, E41PS,30.2,17.8,5.5,0
 SN2603, E310P,15,13.4,5,25
 SN2603, E310S,15,13.4,5,25
 SN2603, E510S,20.8,13.7,5.3,51
 SN2603, E540C,23.1,18.8,5.2,97
 SN2603, H140S,20.4,11.2,6.4,33
 SN2611, A210S,18,20.9,8,51
 SN2611, E130P,13.2,8.7,7.8,5
 SN2611, E130S,13.2,8.7,7.8,0
 SN2611, E260C,17.1,17.5,6.4,56
 SN2615, E130C,12,15.5,4.7,3
 SN2455, E41PP,30.2,20.5,5.5,0
 SN2590, E510P,13.4,14.9,7.1,38
 SN2602, T150C,15,19.8,2.8,58
 SN2611, E370C,5.9,18.8,4.9,18
 SN2452, E710S,12.4,23.1,6.6,88
 SN2611, T140S,13.4,13.5,2.9,30
 SN2611, T340S,17.4,16.2,2.9,45
 SN2455, E510P,13.9,23.6,5.2,54
 SN2603, E410S,20.7,15.6,5.7,58
 SN2613, D370C,11.6,10.2,2.4,20
 SN2454, F320C,15.3,7.9,5.2,5
 SN2455, A220S,17.9,10.8,3.8,38
 SN2597, E540C,21.1,18.8,5.2,84
 SN2611, E230S,17,12.3,4.7,28
 SN2611, E360C,9.8,4.9,1.8,6
 SN2452, E670C,10.4,20.2,5.2,64
 SN2455, B110C,18.2,21.4,2.2,48
 SN2611, E21PS,24.8,13.4,5.7,0
 SN2453, B200C,17.6,16.4,2.3,62
 SN2455, E510S,12.4,22.7,5.2,46
 SN2603, E21PS,24.8,13.4,5.7,0
 SN2603, T520P,5.3,4.9,2.9,3
 SN2603, T520S,5.3,4.9,2.9,3
 SN2597, E520P,21.7,13.7,5.6,73
 SN2602, E530C,20.8,19.2,5.2,102
 SN2602, E540C,23.1,18.8,5.2,99
 SN2611, E380C,2.5,18.8,3.7,14
 SN2614, A210C,16,8.8,8.9,23
 SN2614, A410P,11.7,5.2,4.3,11
 SN2590, D36GS,12.7,21.1,6.9,0
 SN2602, E510P,20.8,13.7,5.3,49
 SN2603, B110P,21.3,15.8,3.2,65
 SN2614, A410S,11.7,6.3,6.6,11
 SN2614, A420S,4.7,14.4,5.1,18
