길이	폭	높이	중량
4.9	11.1	3.2	17
4.9	11.1	3.2	17
20	23.7	3.4	60
19.7	12.2	9.1	22
19.7	12.2	9.1	23
17.6	5.2	2.6	17
17.6	5.2	2.6	17
7.9	9.1	3	16
12.2	8.2	2.8	64
10	10	12	
10	10	12	
6.8	3.6	2.8	6
6.8	3.6	2.8	6
