길이	폭	높이	중량
12.2	13.4	4.5	15
12.2	13.4	4.2	15
15.1	10.9	2.6	20
15.1	10.9	2.6	20
13.4	26	9.2	0
13.4	26	9.2	0
9.7	37	6.6	0
15.1	8.4	5.5	0
15.1	8.4	5.5	0
18.3	13.2	8.1	0
18.3	13.2	8.1	0
12.2	51	34.2	0
7.6	11.2	4.4	17
7.6	11.2	4.4	17
11.2	18.8	3.4	46
11.2	18.8	3.4	46
11.2	18.8	4.7	54
11.2	18.8	4.7	58
11.2	19.3	4.3	54
11.2	19.3	4.3	60
9.1	15	3.3	63
9.1	14.9	3.3	69
5.8	7.8	5.8	4
5.8	7.8	5.8	4
11.8	15.2	3.2	32
11.8	15.4	3.2	34
