length,width,height,count,location
22.0,15.0,1000.0,1,신한내
22.0,16.0,1000.0,1,신한내
23.0,14.0,1000.0,1,신한내
23.0,15.0,1000.0,1,신한내
23.0,19.0,1000.0,1,신한내
17.0,15.0,1000.0,2,신한내
19.0,15.0,1000.0,2,신한내
22.0,13.0,1000.0,2,신한내
14.0,13.0,1000.0,1,신한내
15.0,12.0,1000.0,1,신한내
16.0,13.0,1000.0,1,신한내
17.0,13.0,1000.0,1,신한내
19.0,12.0,1000.0,1,신한내
19.0,18.0,1000.0,1,신한내
20.0,15.0,1000.0,1,신한내
20.0,16.0,1000.0,1,신한내
22.0,15.0,1000.0,1,신한내
22.0,16.0,1000.0,1,신한내
23.0,19.0,1000.0,1,신한내
12.0,12.0,1000.0,1,HSG성동
13.0,12.0,1000.0,1,HSG성동
15.0,12.0,1000.0,1,HSG성동
15.0,13.0,1000.0,1,HSG성동
15.0,14.0,1000.0,1,HSG성동
18.0,13.0,1000.0,1,HSG성동
18.0,15.0,1000.0,1,HSG성동
18.0,17.0,1000.0,1,HSG성동
20.0,15.0,1000.0,1,HSG성동
20.0,18.0,1000.0,1,HSG성동
21.0,12.0,1000.0,1,HSG성동
21.0,16.0,1000.0,1,HSG성동
21.0,17.0,1000.0,1,HSG성동
23.0,13.0,1000.0,1,HSG성동
23.0,19.0,1000.0,1,HSG성동
13.0,12.0,1000.0,1,HSG성동
13.0,13.0,1000.0,1,HSG성동
23.0,14.0,1000.0,1,HSG성동
22.0,22.0,1000.0,1,HSG성동
22.0,20.0,1000.0,1,HSG성동
22.0,16.0,1000.0,1,HSG성동
22.0,14.0,1000.0,1,HSG성동
21.0,18.0,1000.0,1,HSG성동
21.0,14.0,1000.0,1,HSG성동
21.0,13.0,1000.0,1,HSG성동
20.0,12.0,1000.0,1,HSG성동
19.0,15.0,1000.0,1,HSG성동
17.0,16.0,1000.0,1,HSG성동
17.0,14.0,1000.0,1,HSG성동
17.0,12.0,1000.0,1,HSG성동
16.0,13.0,1000.0,1,HSG성동
16.0,12.0,1000.0,1,HSG성동
23.0,17.0,1000.0,1,HSG성동
18.0,16.0,1000.0,2,HSG성동
21.0,15.0,1000.0,2,HSG성동
13.0,12.0,1000.0,1,HSG성동
14.0,14.0,1000.0,1,HSG성동
15.0,13.0,1000.0,1,HSG성동
19.0,14.0,1000.0,1,HSG성동
19.0,17.0,1000.0,1,HSG성동
20.0,13.0,1000.0,1,HSG성동
21.0,21.0,1000.0,1,HSG성동
22.0,18.0,1000.0,1,HSG성동
23.0,13.0,1000.0,1,HSG성동
23.0,15.0,1000.0,1,HSG성동
23.0,16.0,1000.0,1,HSG성동
23.0,17.0,1000.0,1,HSG성동
23.0,21.0,1000.0,1,HSG성동
23.0,22.0,1000.0,1,HSG성동
20.0,19.0,1000.0,2,한내
13.0,12.0,1000.0,1,한내
17.0,12.0,1000.0,1,한내
18.0,13.0,1000.0,1,한내
21.0,17.0,1000.0,1,한내
21.0,20.0,1000.0,1,한내
22.0,16.0,1000.0,1,한내
23.0,13.0,1000.0,1,한내
23.0,18.0,1000.0,1,한내
18.0,16.0,1000.0,2,한내
15.0,13.0,1000.0,1,한내
18.0,13.0,1000.0,1,한내
18.0,17.0,1000.0,1,한내
20.0,16.0,1000.0,1,한내
21.0,13.0,1000.0,1,한내
21.0,21.0,1000.0,1,한내
